                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96529,                 1.7196,                 1.2586,                0.05998,                0.59223,                0.05293,                0.03512,                 1.1553,                 16.497,                 1.7895,             0.00055022,             0.00055022,             0.00055022
                      2,                 1.1546,                 1.2392,                 1.4321,                0.00987,                0.58252,                0.00831,                0.00391,                 1.7741,                 206.59,                 6.6443,              0.0010949,              0.0010949,              0.0010949
                      3,                  1.247,                 1.2816,                 1.4766,                0.12572,                0.40777,                0.07214,                0.03364,                 2.1677,                 5.2043,                 2.8468,              0.0016287,              0.0016287,              0.0016287
                      4,                 1.2403,                 1.2663,                 1.4723,                0.75382,                 0.4466,                0.48429,                0.30836,                 1.7611,                 1.8757,                 1.8359,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.2042,                 1.1532,                 1.4479,                0.19728,                0.50485,                0.14512,                0.08681,                 1.4174,                  3.351,                 1.7741,               0.001601,               0.001601,               0.001601
                      6,                 1.1263,                 1.1012,                 1.3947,                0.72782,                0.54369,                 0.6247,                0.41785,                 1.2738,                 1.8048,                 1.6851,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.0599,                0.96021,                 1.3413,                0.91745,                0.68932,                0.80658,                0.54847,                 1.1696,                 1.2639,                 1.5673,               0.001568,               0.001568,               0.001568
                      8,                0.99182,                0.85322,                 1.2957,                0.85269,                0.84295,                0.90614,                0.65539,                 1.0127,                0.88722,                 1.4705,              0.0015515,              0.0015515,              0.0015515
                      9,                0.97299,                0.84664,                  1.264,                0.84832,                0.81553,                0.89957,                0.64464,                 1.0194,                0.98548,                 1.4491,               0.001535,               0.001535,               0.001535
                     10,                0.94706,                0.82014,                 1.2508,                0.91861,                 0.8932,                0.95958,                0.71847,                 0.8993,                0.79019,                  1.301,              0.0015185,              0.0015185,              0.0015185
                     11,                0.92062,                0.77407,                  1.238,                0.92862,                0.90291,                0.95535,                0.70344,                0.94002,                0.67014,                 1.3893,               0.001502,               0.001502,               0.001502
                     12,                0.92799,                0.75072,                 1.2591,                0.90037,                0.87746,                 0.9507,                0.66927,                0.99836,                0.74651,                 1.4817,              0.0014855,              0.0014855,              0.0014855
                     13,                0.85431,                0.72777,                 1.1747,                0.88751,                0.91918,                0.95481,                0.70161,                0.93844,                0.69325,                 1.3502,               0.001469,               0.001469,               0.001469
                     14,                 0.8583,                0.72334,                 1.1882,                0.91166,                0.91262,                0.96674,                0.71477,                0.93376,                0.61641,                 1.4117,              0.0014525,              0.0014525,              0.0014525
                     15,                0.83976,                0.68999,                 1.1906,                0.90769,                0.92233,                0.96164,                0.75455,                0.82495,                0.62121,                 1.2594,               0.001436,               0.001436,               0.001436
                     16,                0.81211,                0.68943,                 1.1785,                0.88511,                0.89758,                0.93268,                0.71624,                0.90285,                0.68743,                 1.3403,              0.0014195,              0.0014195,              0.0014195
                     17,                0.81817,                0.64851,                  1.148,                0.90064,                0.97087,                0.95963,                0.74885,                0.82578,                0.57692,                 1.2904,              0.0014029,              0.0014029,              0.0014029
                     18,                0.78463,                0.63353,                 1.1226,                0.91513,                0.95146,                 0.9675,                 0.7518,                0.83144,                0.57285,                 1.2974,              0.0013864,              0.0013864,              0.0013864
                     19,                0.77339,                0.61774,                 1.1339,                0.92348,                0.99029,                0.97801,                0.75574,                 0.8576,                0.55313,                 1.3505,              0.0013699,              0.0013699,              0.0013699
                     20,                 0.7637,                0.61822,                 1.1317,                0.96485,                0.99029,                 0.9836,                0.77747,                0.79009,                0.48453,                 1.2524,              0.0013534,              0.0013534,              0.0013534
                     21,                0.72614,                0.59091,                 1.1017,                0.86539,                0.93625,                0.95825,                0.74635,                 0.8579,                0.60173,                  1.321,              0.0013369,              0.0013369,              0.0013369
                     22,                0.71178,                0.60666,                 1.0984,                 0.9249,                 0.8932,                0.94962,                 0.7338,                0.82835,                0.57345,                 1.3008,              0.0013204,              0.0013204,              0.0013204
                     23,                0.71741,                0.58495,                 1.1056,                0.95802,                0.90291,                0.96402,                0.75455,                0.77858,                0.54826,                 1.2589,              0.0013039,              0.0013039,              0.0013039
                     24,                0.72113,                0.56911,                 1.1138,                0.94094,                0.98058,                0.97964,                0.78931,                0.79651,                0.51231,                 1.2565,              0.0012874,              0.0012874,              0.0012874
                     25,                  0.736,                0.57308,                 1.1106,                0.95703,                0.96117,                0.98539,                0.78318,                0.78787,                0.47675,                 1.2532,              0.0012709,              0.0012709,              0.0012709
                     26,                0.69267,                 0.5653,                 1.0842,                0.93333,                0.97087,                0.97201,                0.77484,                0.81692,                0.51178,                 1.2702,              0.0012544,              0.0012544,              0.0012544
                     27,                0.68891,                0.54415,                 1.0753,                0.91171,                 0.8932,                0.95488,                0.73119,                0.82503,                0.59712,                 1.2449,              0.0012379,              0.0012379,              0.0012379
                     28,                0.68988,                0.52966,                 1.0659,                 0.9091,                0.98058,                0.97901,                0.75505,                 0.7468,                0.49333,                 1.2285,              0.0012214,              0.0012214,              0.0012214
                     29,                0.67169,                0.56058,                 1.0602,                0.96102,                0.95741,                0.98201,                0.78266,                0.74356,                0.55684,                 1.1966,              0.0012049,              0.0012049,              0.0012049
                     30,                0.64629,                 0.5102,                  1.051,                0.95464,                0.94175,                0.97919,                0.76398,                0.78483,                0.46634,                 1.2696,              0.0011884,              0.0011884,              0.0011884
                     31,                0.66959,                0.54862,                 1.0768,                0.94213,                0.94835,                0.98594,                0.78598,                0.73893,                 0.4752,                 1.1993,              0.0011719,              0.0011719,              0.0011719
                     32,                0.66991,                0.53184,                 1.0698,                0.95276,                0.97908,                0.98744,                0.77554,                0.71419,                0.44497,                 1.1983,              0.0011554,              0.0011554,              0.0011554
                     33,                0.64209,                0.51416,                 1.0414,                 0.9165,                0.95909,                0.98354,                0.78064,                0.73656,                0.46926,                 1.2016,              0.0011389,              0.0011389,              0.0011389
                     34,                 0.6431,                0.51872,                 1.0519,                0.95875,                0.96117,                0.98435,                 0.8139,                0.71174,                0.44147,                 1.1619,              0.0011224,              0.0011224,              0.0011224
                     35,                0.63112,                0.48371,                 1.0306,                0.94752,                0.97087,                0.98101,                0.80447,                0.70291,                0.43774,                 1.1624,              0.0011059,              0.0011059,              0.0011059
                     36,                0.62314,                0.50401,                 1.0542,                0.95316,                0.98787,                0.98367,                0.79645,                0.72979,                0.42128,                 1.2008,              0.0010894,              0.0010894,              0.0010894
                     37,                0.59939,                0.49083,                  1.019,                0.94223,                0.99029,                0.98011,                0.80779,                0.70856,                0.45482,                 1.1539,              0.0010729,              0.0010729,              0.0010729
                     38,                0.61706,                0.49626,                 1.0357,                0.95772,                0.99029,                0.98408,                0.80492,                 0.6987,                0.43232,                 1.1497,              0.0010564,              0.0010564,              0.0010564
                     39,                 0.5921,                0.48331,                 1.0149,                0.94731,                0.96117,                0.97994,                0.79943,                0.73305,                0.43743,                 1.1776,              0.0010399,              0.0010399,              0.0010399
                     40,                0.60078,                0.46833,                0.99949,                0.93994,                0.97087,                0.97895,                0.80051,                 0.7182,                0.42766,                 1.1478,              0.0010234,              0.0010234,              0.0010234
                     41,                0.60923,                0.47337,                 1.0156,                0.98077,                0.99011,                0.98752,                 0.8121,                 0.6569,                0.39471,                 1.1362,              0.0010069,              0.0010069,              0.0010069
                     42,                0.59442,                0.47632,                 1.0257,                0.96014,                0.97087,                0.98777,                0.81388,                0.70864,                0.41288,                 1.1567,             0.00099036,             0.00099036,             0.00099036
                     43,                0.58387,                0.45595,                 1.0125,                0.97732,                0.96117,                0.99106,                0.80913,                0.69647,                0.41281,                 1.1579,             0.00097386,             0.00097386,             0.00097386
                     44,                0.56563,                0.46049,                 1.0094,                0.96579,                0.95146,                 0.9916,                0.80553,                0.69417,                0.40265,                 1.1503,             0.00095736,             0.00095736,             0.00095736
                     45,                 0.5758,                0.45362,                   1.01,                0.97732,                0.97087,                 0.9826,                0.79327,                 0.7105,                  0.428,                  1.161,             0.00094085,             0.00094085,             0.00094085
                     46,                0.54092,                 0.4268,                0.98103,                0.96156,                0.97153,                 0.9869,                0.79995,                0.68924,                0.40991,                 1.1767,             0.00092435,             0.00092435,             0.00092435
                     47,                0.57667,                 0.4378,                  1.011,                0.97081,                0.96861,                0.98339,                0.79509,                 0.6755,                0.39617,                 1.1521,             0.00090785,             0.00090785,             0.00090785
