                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0102,                 2.6289,                 1.2336,                      1,                0.02367,                0.29005,                0.15538,                0.86438,                 3.6107,                 1.0944,             0.00054433,             0.00054433,             0.00054433
                      2,                0.96762,                 1.6551,                 1.1603,                0.54466,                0.42972,                0.47151,                0.27555,                 1.1967,                 2.7901,                  1.341,              0.0010891,              0.0010891,              0.0010891
                      3,                  1.019,                 1.4938,                 1.1927,                0.48206,                0.52427,                0.40438,                0.22687,                 1.3516,                 2.5356,                 1.9149,              0.0016229,              0.0016229,              0.0016229
                      4,                0.99083,                 1.2888,                 1.1809,                0.03431,                0.32039,                 0.0285,                0.01614,                  1.398,                 4.1236,                 1.4992,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.0091,                  1.108,                 1.1861,                0.87904,                0.91726,                0.94119,                0.66853,                0.97373,                 1.2547,                 1.2589,               0.001601,               0.001601,               0.001601
                      6,                 0.9614,                 1.0134,                 1.1558,                 0.8996,                0.75728,                 0.8253,                0.60906,                0.99645,                  1.099,                 1.1651,              0.0015845,              0.0015845,              0.0015845
                      7,                0.92438,                0.88658,                 1.1222,                0.84976,                0.74757,                0.80474,                 0.6153,                0.95514,                0.96856,                 1.1546,               0.001568,               0.001568,               0.001568
                      8,                0.87542,                0.87075,                 1.0996,                0.91102,                0.79521,                0.90086,                0.65339,                0.93212,                0.88705,                 1.1562,              0.0015515,              0.0015515,              0.0015515
                      9,                 0.8681,                 0.8284,                 1.0876,                0.82508,                 0.8932,                0.92482,                0.66058,                 0.9601,                0.87087,                 1.1452,               0.001535,               0.001535,               0.001535
                     10,                0.82622,                0.78199,                 1.0749,                0.91352,                0.92304,                0.96486,                0.72545,                0.89739,                0.74413,                 1.0617,              0.0015185,              0.0015185,              0.0015185
                     11,                0.83089,                0.73472,                 1.0745,                0.95779,                0.88119,                0.96015,                0.73999,                  0.812,                 0.6901,                  1.061,               0.001502,               0.001502,               0.001502
                     12,                0.82338,                0.73394,                 1.0699,                 0.9322,                0.96117,                0.97997,                0.74969,                0.85118,                0.64507,                 1.0671,              0.0014855,              0.0014855,              0.0014855
                     13,                0.79179,                0.71206,                 1.0494,                0.96849,                 0.8932,                0.98009,                0.75097,                 0.8618,                0.66311,                 1.0783,               0.001469,               0.001469,               0.001469
                     14,                0.77502,                0.68446,                 1.0442,                0.95745,                0.91262,                0.96206,                0.74316,                0.85754,                0.63961,                 1.1005,              0.0014525,              0.0014525,              0.0014525
                     15,                 0.7541,                  0.655,                 1.0502,                0.97232,                0.97087,                0.99151,                0.76767,                0.82787,                0.59737,                  1.057,               0.001436,               0.001436,               0.001436
                     16,                0.74685,                0.63891,                 1.0328,                0.94402,                0.98238,                0.97364,                0.78836,                0.73018,                0.56158,                 1.0109,              0.0014195,              0.0014195,              0.0014195
                     17,                0.74741,                0.63898,                 1.0388,                0.94098,                0.92875,                0.96341,                0.73913,                0.78257,                0.58337,                 1.0655,              0.0014029,              0.0014029,              0.0014029
                     18,                0.72988,                0.63233,                 1.0296,                0.96111,                0.95982,                0.98438,                0.74987,                0.81983,                0.57707,                 1.0937,              0.0013864,              0.0013864,              0.0013864
                     19,                0.70847,                0.60824,                 1.0277,                0.96577,                0.98058,                 0.9874,                0.77361,                0.76557,                0.51124,                 1.0195,              0.0013699,              0.0013699,              0.0013699
                     20,                0.70507,                0.59926,                 1.0191,                0.97737,                0.97087,                0.98696,                0.79402,                0.71957,                0.46148,                 1.0181,              0.0013534,              0.0013534,              0.0013534
                     21,                0.66898,                0.58452,                 1.0019,                0.88319,                0.95146,                0.96437,                0.75844,                0.76454,                 0.5639,                 1.0291,              0.0013369,              0.0013369,              0.0013369
                     22,                0.69819,                0.57648,                 1.0046,                0.97779,                0.95146,                0.98444,                0.77608,                0.79561,                0.51795,                 1.0281,              0.0013204,              0.0013204,              0.0013204
